Kicker Pass_Power VelMod VelX VelY PosX PosY
0 600 251.87007310941 -138.01220703125 -210.6921081543 498.52276611328 338.02197265625
0 600 346.42078106925 -187.2658996582 -291.44268798828 490.18585205078 324.8215637207
0 600 405.72375205993 -226.54476928711 -336.58465576172 486.16177368164 319.18048095703
0 600 502.44016343914 -273.88565063477 -421.22769165039 481.30053710938 311.40170288086
0 600 574.38656373209 -304.83346557617 -486.82284545898 476.44546508789 303.23495483398
0 600 643.57005408129 -332.12274169922 -551.25030517578 466.94366455078 287.10580444336
0 600 652.23749474687 -340.40557861328 -556.36120605469 462.19329833984 279.55706787109
0 600 650.06206615175 -346.44357299805 -550.05230712891 457.41983032227 272.38421630859
0 600 645.64108111299 -351.21908569336 -541.75415039063 452.61489868164 265.37286376953
0 600 619.68788420389 -340.0458984375 -518.05584716797 448.36639404297 259.07086181641
0 600 618.05356987252 -328.99627685547 -523.21282958984 439.80722045898 244.88748168945
0 600 590.8042032945 -317.83645629883 -498.02569580078 435.8544921875 238.89059448242
0 600 577.97501103953 -306.12478637695 -490.24761962891 432.07202148438 232.55268859863
0 600 573.75509889517 -304.06295776367 -486.55999755859 428.07049560547 226.15942382813
0 600 577.07077810098 -302.85113525391 -491.21469116211 424.0634765625 219.49099731445
0 600 582.15509041359 -316.7041015625 -488.47012329102 419.48687744141 213.04817199707
0 600 562.79744136185 -306.9035949707 -471.75326538086 411.31317138672 200.74893188477
0 600 562.79744136185 -306.9035949707 -471.75326538086 411.31317138672 200.74893188477
0 600 555.74328772898 -302.81567382813 -465.9970703125 407.38006591797 194.68269348145
0 600 553.32942420292 -299.51055908203 -465.26000976563 403.47103881836 188.49806213379
0 600 548.64496526133 -285.63220214844 -468.42880249023 400.01718139648 182.17138671875
0 600 628.10110472727 -320.6862487793 -540.06604003906 394.84582519531 173.1403503418
0 600 638.21940255876 -335.42056274414 -542.97058105469 389.99713134766 165.82653808594
0 600 621.44078981617 -323.42681884766 -530.64465332031 385.99118041992 159.06617736816
0 600 599.45505793413 -311.02416992188 -512.45520019531 382.16104125977 152.69813537598
0 600 555.18792020182 -306.57608032227 -462.86578369141 378.18701171875 147.79348754883
0 600 524.1607617954 -282.72103881836 -441.37661743164 375.02682495117 142.4574432373
0 600 515.90135689725 -279.64782714844 -433.53350830078 371.3766784668 136.8773651123
0 600 495.54651162311 -266.47113037109 -417.80316162109 368.16036987305 131.70852661133
0 600 480.99684902965 -258.69110107422 -405.50817871094 364.90994262695 126.61586761475
