Kicker Pass_Power VelMod VelX VelY PosX PosY
0 450 173.35015917499 -60.383441925049 162.4934387207 322.16998291016 -306.74087524414
0 450 245.2759916389 -80.426902770996 231.71496582031 317.97421264648 -294.43615722656
0 450 281.05481281412 -93.074081420898 265.19619750977 316.41012573242 -290.04486083984
0 450 307.03163261887 -103.55511474609 289.04110717773 314.76162719727 -285.58178710938
0 450 325.40861210203 -115.61094665527 304.17901611328 311.43170166016 -277.11907958984
0 450 323.32481794158 -117.83268737793 301.08868408203 309.80383300781 -273.18353271484
0 450 318.21605774071 -118.37840270996 295.37774658203 308.21148681641 -269.39105224609
0 450 312.16410691484 -117.87428283691 289.05377197266 306.65274047852 -265.69857788086
0 450 306.36308387313 -116.81282806396 283.21917724609 305.1223449707 -262.07138061523
0 450 301.3634784246 -115.53456878662 278.33740234375 303.61456298828 -258.48492431641
0 450 294.08297204356 -113.05181884766 271.48495483398 300.64733886719 -251.38053894043
0 450 291.51742568572 -111.98735046387 269.14910888672 299.18133544922 -247.8515625
0 450 289.39699683213 -111.04780578613 267.24334716797 297.72473144531 -244.33700561523
0 450 287.54155837765 -110.20951843262 265.58239746094 296.27667236328 -240.83833312988
0 450 285.81606919867 -109.44295501709 264.03231811523 294.83703613281 -237.35749816895
0 450 284.13073288703 -108.72108459473 262.50714111328 293.40585327148 -233.89639282227
0 450 282.43405825623 -108.02303314209 260.95980834961 291.98336791992 -230.45645141602
0 450 280.70273987938 -107.33406066895 259.37121582031 290.56985473633 -227.03874206543
0 450 278.93107616953 -106.64524841309 257.73889160156 289.16552734375 -223.64392089844
0 450 277.1230731029 -105.95247650146 256.06887817383 287.7705078125 -220.27233886719
0 450 275.28715997771 -105.2540435791 254.37100219727 286.38497924805 -216.9241027832
0 450 273.43204940179 -104.55009460449 252.65463256836 285.00897216797 -213.59921264648
0 450 271.56579509588 -103.84196472168 250.92793273926 283.64248657227 -210.29763793945
0 450 269.69390111473 -103.13073730469 249.19641113281 282.28558349609 -207.01924133301
0 450 267.82036527386 -102.41746520996 247.46395874023 280.93823242188 -203.76399230957
0 450 265.94731217648 -101.70335388184 245.73237609863 279.60043334961 -200.53179931641
0 450 264.07584397541 -100.98881530762 244.00268554688 278.27215576172 -197.32261657715
0 450 262.20611965848 -100.27415466309 242.27493286133 276.95343017578 -194.13642883301
0 450 260.33786311644 -99.559829711914 240.54862976074 275.64422607422 -190.97320556641
0 450 258.47090077588 -98.845718383789 238.82363891602 274.34454345703 -187.83296203613
0 450 256.60459379992 -98.131698608398 237.09931945801 273.05435180664 -184.7156829834
0 450 252.87352156252 -96.704483032227 233.65200805664 270.50250244141 -178.55006408691
